112126_8883 ERROR: DTIFIT fail
112799_8886 ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
16661_8325 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
16661_8325 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
139272_8929 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
139272_8929 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
16661_8325 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
16661_8325 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
94028_8928 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
94028_8928 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail
139272_8929 ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected
121407_8344 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
18281_9118 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected
18281_9118 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
121011_9144 ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
88760_9687 ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
88760_9687 ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
16128_10030 ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
18416_10021 ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
19606_10207 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected
91341_10254 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected
19606_10207 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
91341_10254 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
80289_10243 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
19526_10253 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
80289_10243 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
19526_10253 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
19650_10317 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
19650_10317 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
88770_10316 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected
88770_10316 ERROR: no b=0 image ERROR: dwi to standard not run ERROR: inverse transformation matrix does not exist ERROR: EDDY motion parameters do not exist ERROR: Distortion Correction could not be run. Check B0_map_new folder ERROR: DTIFIT fail- dico corrected ERROR: DTIFIT fail- non-dico corrected
