17651	8012	2
17621	8019	1
17523	8087	1
16422	8099	1
17650	8112	1
118162	8125	1
16962	8168	1
93204	8171	2
17648	8173	1
89044	8186	1
17622	8199	3
17649	8200	1
121407	8344	1
93341	8479	1
89567	8499	2
104059	8500	1
122801	8520	1
100508	8521	1
100088	8522	1
105272	8523	1
109577	8558	1
18041	8585	1
120922	8586	1
17720	8596	1
12882	8604	1
99949	8605	1
112598	8606	1
15305	8607	1
83835	8660	1
18077	8692	1
112715	8732	1
17878	8741	1
18121	8761	1
106573	8762	2
121000	8774	1
13831	8780	2
90683	8805	1
89367	8806	1
121407	8820	2
18165	8881	2
98366	8890	1
112126	8883	1
18093	8884	2
112799	8886	1
91726	8887	3
108701	8910	2
94028	8928	2
139272	8929	2
93242	8955	2
120217	8969	2
15598	8974	2
18212	9002	2
18199	9025	2
92886	9038	2
89731	9052	1
85369	9053	2
133236	9079	2
18272	9095	2
18281	9118	1
17519	9140	2
121011	9144	2
18183	9170	2
16653	9188	2
91335	9242	3
105176	9283	2
17491	9291	2
17940	9322	3
87225	9391	1
18384	9424	1
116360	9425	2
18394	9443	2
86946	9452	3
18167	9453	2
90666	9454	3
89279	9538	2
132179	9594	4
127236	9686	1
118057	9724	4
82051	9757	3
88760	9687	2
118057	9724	4
82051	9757	3
99838	9868	2
19494	9930	2
117226	9959	4
98831	9979	3
18416	10021	3
16128	10030	1
19606	10207	2
80289	10243	2
19526	10253	2
91341	10254	2
84332	10256	1
93406	10310	2
88770	10316	1
19650	10317	1
110961	10342	1
112694	10343	3
113111	10392	1
112061	10393	1
81725	10394	3
19680	10395	3
19605	10396	2
94848	10407	2
98314	10408	3
91919	10411	2
110828	10446	1
132641	10452	3
119791	10473	2
81659	10500	2
